194,1028,2.5
194,54,2.5
13,215,3.5
301,227,3.5
301,191,4.5
13,56,3.0
222,151,3.0
299,577,2.0
13,344,3.5
194,66,2.5
13,186,3.0
279,1181,2.5
301,604,4.0
222,97,3.0
268,436,3.0
13,498,4.0
181,279,1.0
181,325,1.5
92,587,3.5
13,892,2.5
286,288,3.5
201,960,3.0
181,938,1.5
303,404,3.5
299,305,3.5
222,278,2.5
303,252,3.0
269,246,4.0
299,303,3.5
13,229,3.0
92,168,4.0
303,200,4.5
94,720,3.0
276,922,3.5
276,57,4.0
181,306,2.0
293,249,3.0
276,142,3.0
268,824,2.0
181,741,1.5
234,448,3.0
90,289,3.5
305,71,3.5
119,382,4.0
279,1497,3.5
301,33,3.5
72,699,4.0
90,259,3.5
308,55,4.0
94,744,3.5
62,12,4.5
276,40,2.5
181,1015,1.0
308,81,3.5
269,198,3.5
222,781,3.0
269,22,3.0
13,864,3.0
269,507,3.5
222,812,2.5
279,399,3.5
269,234,3.0
13,901,1.0
276,70,3.5
244,17,3.5
62,1016,3.0
276,417,2.5
222,26,3.0
13,809,2.5
244,381,3.5
7,497,4.0
178,742,4.0
234,1462,3.0
269,705,3.5
130,1246,1.5
42,588,4.0
92,794,3.5
181,762,1.5
92,739,3.0
246,665,2.0
90,1198,3.5
276,188,4.0
222,173,4.0
72,866,3.5
299,134,4.0
1,171,4.0
308,295,3.5
222,49,2.5
181,121,1.5
200,11,4.5
234,626,2.5
244,707,3.5
90,25,4.0
279,586,2.5
286,153,3.5
234,318,4.5
268,147,3.0
94,1220,3.5
7,492,4.5
268,217,2.5
92,515,4.0
234,10,3.0
308,187,4.5
276,64,5.0
201,272,4.0
181,870,1.0
201,1100,2.5
293,423,3.5
276,181,4.5
13,823,2.5
222,796,3.0
181,1060,1.0
13,780,3.0
42,44,3.5
268,21,2.5
234,81,3.5
90,506,4.5
7,661,5.0
62,68,3.0
42,1028,3.5
178,433,3.5
286,99,3.5
90,258,4.5
181,1288,2.0
234,487,3.5
7,648,4.5
87,82,4.0
194,172,4.0
94,62,2.5
181,927,1.5
90,22,4.5
181,696,1.0
286,357,3.5
92,121,2.5
244,550,2.5
181,405,2.0
244,183,4.0
1,265,4.0
299,387,3.0
94,572,2.5
286,746,4.0
62,665,2.5
178,385,3.5
194,23,3.5
268,955,3.0
276,294,4.0
207,845,3.0
305,654,4.0
7,378,4.0
59,92,4.0
10,461,4.5
194,152,3.0
7,200,4.5
59,323,3.0
303,161,3.0
254,378,3.5
90,923,5.0
279,122,2.5
286,298,3.5
222,448,3.0
42,625,3.5
130,1217,3.5
254,357,4.0
244,310,3.5
128,317,4.0
